"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"VEXT";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Male";;;
2;"IC1";"QFP50P1200X1200X160-64N";1;"STM32L412RBT6P";;;
3;"DEXT1";"AQ120501ETG";1;"D_Schottky";;;
4;"LR1,LMS1";"L_0805_2012Metric";2;"39nH";;;
5;"I2C2,USART2,I2C1,USART1";"502382-0470";4;"Conn_01x04";;;
6;"CB3,CB2,CB1,CB4";"C_0805_2012Metric";4;"4.7u";;;
7;"H2,H3,H1,H4";"MountingHole_2.1mm";4;"MountingHole";;;
8;"CD6,CD3,CD5,CD2,CD4";"C_0402_1005Metric";5;"100n";;;
9;"CMS1,CMS3";"C_0805_2012Metric";2;"10n";;;
10;"CMS2";"C_0805_2012Metric";1;"1u";;;
11;"SPI";"693072010801";1;"Micro_SD_Card";;;
12;"CR2,CR1,CR3";"C_0402_1005Metric";3;"22uF";;;
13;"Y2";"ECS80830QVSTR";1;"Crystal";;;
14;"RExt1";"R_0603_1608Metric";1;"2K";;;
15;"R2,R1";"R_0805_2012Metric";2;"1k";;;
16;"Cl1,Cl2";"C_0402_1005Metric";2;"2pF";;;
17;"Y1";"ABS05W32768KHZD2T";1;"Crystal";;;
18;"RSPI1,RSPI2";"R_0402_1005Metric";2;"1K";;;
19;"D2,D1";"LED_0805_2012Metric";2;"LED_Small";;;
20;"Cl4,Cl3";"C_0402_1005Metric";2;"10pF";;;
21;"CD1";"C_0402_1005Metric";1;"4.7u";;;
22;"U1";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
23;"JTAG";"FTSH10501LDVK";1;"AVR-JTAG-10";;;
24;"USB";"GMCB05B11124H1EU";1;"USB_B";;;
25;"NT1";"NetTie-3_SMD_Pad2.0mm";1;"NetTie_3_Tee";;;
